name,stations
Red Line,196$60$6$120$205$106$171$195$32$81$110$194$230$192$201$91$218$165$163$200$64$87$93$135$97$179$181$178
Yellow Line,184$180$57$70$1$9$118$55$229$227$23$91$19$20$137$174$159$18$221$102$83$2$54$59$107$183$168$21$211$49$5$56$206$117$62$61
Blue Line,43$36$37$38$39$40$41$42$34$35$131$224$223$74$73$217$209$213$175$177$122$95$193$160$173$90$80$176$174$13$109$212$66$231$3$113$114$136$142$143$144$16$51$140$145$146$147$148$149$92$225
Green Line,64$7$166$203$103$157$158$161$222$128$129$172$123$124$48$216$215$156$12$17$95
Violet Line,91$100$71$28$68$109$76$18$94$79$75$99$121$84$134$86$52$151$58$77$188$119$220$10$186$138$116$191$11$153$132$185$170
Pink Line,105$9$198$135$197$167$47$175$112$130$33$207$15$189$208$228$99$219$67$4$88$89$96$44$230$69$111$50$82$202
Magenta Line,74$24$25$154$182$214$199$226$125$63$59$155$22$53$133$86$151$210$72$152$78$85$150$16
Grey Line,34$127$126$29
Airport Express,137$204$30$26$43$232
